,values,dates,actual
0,1.8924395,2022-08-14,1.936802002
1,1.9316283,2022-08-15,1.904228149
2,1.8532293,2022-08-16,1.878139404
3,1.8501925,2022-08-17,1.832999634
4,1.8510066,2022-08-18,1.847007813
5,1.834166,2022-08-19,1.612987305
6,1.6938672,2022-08-20,1.577003784
7,1.5561237,2022-08-21,1.61931897
8,1.555701,2022-08-22,1.622505859
9,1.7362306,2022-08-23,1.662769897
10,1.6538469,2022-08-24,1.657059204
11,1.6259081,2022-08-25,1.696457031
12,1.6650679,2022-08-26,1.507782837
13,1.5422084,2022-08-27,1.49139502
14,1.4508591,2022-08-28,1.430547363
15,1.3955189,2022-08-29,1.553037354
16,1.581059,2022-08-30,1.523838867
17,1.5420976,2022-08-31,1.553684937
18,1.5609952,2022-09-01,1.586176758
19,1.492592,2022-09-02,1.577220459
20,1.58603,2022-09-03,1.556872681
21,1.5302733,2022-09-04,1.577641602
22,1.5299059,2022-09-05,1.617183228
23,1.5920731,2022-09-06,1.561748535
24,1.5831187,2022-09-07,1.629906372
25,1.568989,2022-09-08,1.635347656
26,1.602278,2022-09-09,1.719085449
27,1.7076788,2022-09-10,1.776203735
28,1.7170229,2022-09-11,1.761800049
29,1.7635282,2022-09-12,1.713765259
30,1.6700531,2022-09-13,1.580787964
31,1.5703466,2022-09-14,1.634755005
32,1.5784084,2022-09-15,1.471693481
33,1.5383192,2022-09-16,1.432447754
34,1.4746926,2022-09-17,1.469741699
35,1.3891418,2022-09-18,1.335329102
36,1.4566439,2022-09-19,1.377541382
37,1.3423587,2022-09-20,1.324388184
38,1.300877,2022-09-21,1.252607788
39,1.3244208,2022-09-22,1.327680176
40,1.2403574,2022-09-23,1.328259521
41,1.3447745,2022-09-24,1.317993286
42,1.3456322,2022-09-25,1.294216797
43,1.2392771,2022-09-26,1.33532019
44,1.294647,2022-09-27,1.330127686
45,1.3227082,2022-09-28,1.337410889
46,1.3292443,2022-09-29,1.335652344
47,1.2943188,2022-09-30,1.327978638
48,1.3132687,2022-10-01,1.311644409
49,1.2914487,2022-10-02,1.276093506
50,1.2655542,2022-10-03,1.323439209
51,1.2823806,2022-10-04,1.362126587
52,1.3426186,2022-10-05,1.352837158
53,1.3654692,2022-10-06,1.351709473
54,1.3070288,2022-10-07,1.332516968
55,1.2970471,2022-10-08,1.315500488
56,1.3026414,2022-10-09,1.322604248
57,1.2956951,2022-10-10,1.291337646
58,1.2923851,2022-10-11,1.279575684
59,1.2671278,2022-10-12,1.294906372
60,1.2603358,2022-10-13,1.288123901
61,1.2886382,2022-10-14,1.297422119
62,1.2795086,2022-10-15,1.274871704
63,1.2548549,2022-10-16,1.306296631
64,1.2744812,2022-10-17,1.331713623
65,1.3008604,2022-10-18,1.310447021
66,1.3164908,2022-10-19,1.285744263
67,1.2546775,2022-10-20,1.283200928
68,1.2434468,2022-10-21,1.299946411
69,1.2824804,2022-10-22,1.314299194
70,1.3046739,2022-10-23,1.363447021
71,1.3304418,2022-10-24,1.344998535
72,1.3318921,2022-10-25,1.461665405
73,1.3922346,2022-10-26,1.56656665
74,1.5025643,2022-10-27,1.514374878
75,1.5513533,2022-10-28,1.555477905
76,1.4565285,2022-10-29,1.619698486
77,1.5248531,2022-10-30,1.590783325
78,1.6259328,2022-10-31,1.572714478
79,1.5379801,2022-11-01,1.57970459
80,1.518695,2022-11-02,1.519711792
81,1.5385541,2022-11-03,1.531541748
82,1.5083328,2022-11-04,1.645093384
83,1.5802369,2022-11-05,1.627968018
84,1.6701016,2022-11-06,1.572234741
85,1.5727226,2022-11-07,1.568591309
86,1.4785928,2022-11-08,1.332835571
87,1.4029894,2022-11-09,1.1001698
88,1.1507132,2022-11-10,1.2994646
89,1.1504526,2022-11-11,1.287221069
90,1.4183881,2022-11-12,1.255268311
91,1.3844512,2022-11-13,1.221819214
92,1.0972008,2022-11-14,1.241604248
93,1.211593,2022-11-15,1.251736206
94,1.245398,2022-11-16,1.215602539
95,1.2286093,2022-11-17,1.200808594
96,1.1679989,2022-11-18,1.212300293
97,1.1758305,2022-11-19,1.218426758
98,1.2153583,2022-11-20,1.142466675
99,1.1578254,2022-11-21,1.108353027
100,1.0789232,2022-11-22,1.135173462
101,1.088389,2022-11-23,1.183199585
102,1.1876416,2022-11-24,1.203983154
103,1.2037123,2022-11-25,1.198925903
104,1.1714284,2022-11-26,1.205897949
105,1.1560369,2022-11-27,1.195126953
106,1.1668133,2022-11-28,1.170086182
107,1.1585433,2022-11-29,1.216901245
108,1.1692998,2022-11-30,1.295688599
109,1.2585675,2022-12-01,1.276273926
110,1.293198,2022-12-02,1.294303345
111,1.2434187,2022-12-03,1.243334839
112,1.1993998,2022-12-04,1.280256592
113,1.2486784,2022-12-05,1.259676758
114,1.2391207,2022-12-06,1.271653809
115,1.2729942,2022-12-07,1.2324375
116,1.2058191,2022-12-08,1.281116333
117,1.2475555,2022-12-09,1.26428479
118,1.248611,2022-12-10,1.266384155
119,1.2663436,2022-12-11,1.26386853
120,1.2162781,2022-12-12,1.274619019
121,1.2585601,2022-12-13,1.320549194
122,1.2837985,2022-12-14,1.309328735
123,1.3029501,2022-12-15,1.266353882
124,1.2562549,2022-12-16,1.168259399
125,1.1485057,2022-12-17,1.188149536
126,1.144844,2022-12-18,1.18471521
127,1.1842048,2022-12-19,1.167609863
128,1.206132,2022-12-20,1.217703613
129,1.1637819,2022-12-21,1.213599976
130,1.2030287,2022-12-22,1.218182129
131,1.2070714,2022-12-23,1.220159424
132,1.171084,2022-12-24,1.22114856
133,1.2021686,2022-12-25,1.218962036
134,1.1960207,2022-12-26,1.226974365
135,1.2011849,2022-12-27,1.212791626
136,1.1970723,2022-12-28,1.189986084
137,1.1757171,2022-12-29,1.201595337
138,1.1662595,2022-12-30,1.199232788
139,1.186557,2022-12-31,1.19677124
140,1.1887524,2023-01-01,1.200964844
